img_path,prediction,output,embedding,fitness
visualization/mutag/population_sdo/graph_0.png,0,"[0.9877181053161621, 0.012281849980354309]","[0.0, 0.0001, 0.0, 0.0, 0.0, 0.0003, 0.6373, 0.0002, 0.0001, 0.0001, 0.0, 0.0043, 0.0, 0.0052, 0.0, 0.0, 0.0, 0.3484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0]",8.0156745241311e-08
visualization/mutag/population_sdo/graph_1.png,0,"[0.5114939212799072, 0.488506019115448]","[0.0, 0.0001, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.8077, 0.1696, 0.0189, 0.0, 0.0026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",9.555932223292984e-08
visualization/mutag/population_sdo/graph_2.png,0,"[0.9919084906578064, 0.008091513998806477]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.7054, 0.0001, 0.0, 0.0, 0.0, 0.0027, 0.0, 0.0059, 0.0, 0.0, 0.0, 0.2805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0052, 0.0, 0.0]",1.1248973663668949e-07
visualization/mutag/population_sdo/graph_3.png,0,"[0.9999651908874512, 3.48437279171776e-05]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012, 0.0, 0.0]",0.004740659613162279
visualization/mutag/population_sdo/graph_4.png,0,"[0.9999656677246094, 3.438221028773114e-05]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012, 0.0, 0.0]",0.005553972441703081
visualization/mutag/population_sdo/graph_5.png,0,"[0.9999737739562988, 2.619606129883323e-05]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007, 0.0, 0.0]",0.00574101647362113
visualization/mutag/population_sdo/graph_6.png,0,"[0.9999659061431885, 3.4107659303117543e-05]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011, 0.0, 0.0]",0.005877820309251547
visualization/mutag/population_sdo/graph_7.png,0,"[0.9999653100967407, 3.466316411504522e-05]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0011, 0.0, 0.0]",0.005892195273190737
visualization/mutag/population_sdo/graph_8.png,0,"[0.999962568283081, 3.7400339351734146e-05]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9982, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014, 0.0, 0.0]",0.005947457626461983
visualization/mutag/population_sdo/graph_9.png,0,"[0.9999727010726929, 2.729326115513686e-05]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007, 0.0, 0.0]",0.006142111495137215
